id,level,type,arabic_text,korean_meaning,root,form,pattern
50001,5,vocabulary,شَارَكَ,"참여하다, 공유하다",ش-ر-ك,3,
50002,5,vocabulary,قَاتَلَ,"싸우다, 전투하다",ق-ت-ل,3,
50003,5,vocabulary,سَاعَدَ,돕다,س-ع-د,3,
50004,5,vocabulary,نَاقَشَ,논의하다,ن-ق-ش,3,
50005,5,vocabulary,حَاوَلَ,"시도하다, 노력하다",ح-و-ل,3,
50006,5,vocabulary,عَامَلَ,"대우하다, 다루다",ع-م-ل,3,
50007,5,vocabulary,سَافَرَ,여행하다,س-ف-ر,3,
50008,5,vocabulary,كَاتَبَ,서신을 주고받다,ك-ت-ب,3,
50009,5,vocabulary,شَاهَدَ,"보다, 목격하다",ش-ه-د,3,
50010,5,vocabulary,جَاهَدَ,"분투하다, 성전하다",ج-ه-د,3,
50011,5,vocabulary,وَاصَلَ,"계속하다, 연결하다",و-ص-ل,3,
50012,5,vocabulary,عَارَضَ,반대하다,ع-ر-ض,3,
50013,5,vocabulary,أَخْبَرَ,"알리다, 통보하다",خ-ب-ر,4,
50014,5,vocabulary,أَرْسَلَ,"보내다, 파견하다",ر-س-ل,4,
50015,5,vocabulary,أَكْمَلَ,"완료하다, 완성하다",ك-م-ل,4,
50016,5,vocabulary,أَخْرَجَ,"꺼내다, 내보내다, 연출하다",خ-ر-ج,4,
50017,5,vocabulary,أَدْخَلَ,"들어가게 하다, 삽입하다",د-خ-ل,4,
50018,5,vocabulary,أَعْلَنَ,"발표하다, 선언하다",ع-ل-ن,4,
50019,5,vocabulary,أَجَابَ,대답하다,ج-و-ب,4,
50020,5,vocabulary,أَضَافَ,"추가하다, 덧붙이다",ض-ي-ف,4,
50021,5,vocabulary,أَفْهَمَ,"이해시키다, 설명하다",ف-ه-م,4,
50022,5,vocabulary,أَسْلَمَ,"복종하다, 이슬람으로 개종하다",س-ل-م,4,
50023,5,vocabulary,أَوْضَحَ,"명확히 하다, 설명하다",و-ض-ح,4,
50024,5,vocabulary,أَصْبَحَ,"~이 되다, ~하기 시작하다",ص-ب-ح,4,
50025,5,vocabulary,أَنْجَزَ,"달성하다, 성취하다",ن-ج-ز,4,
